Sum of EV sold ,Column Labels,,
Row Labels,2-Wheelers,4-Wheelers,Grand Total
Q1,369.68,31.55,401.23
Q2,381.28,34.08,415.36
Q3,532,38.78,570.78
Q4,630.21,48.53,678.74
Grand Total,1913.17,152.94,2066.11
