fiscal_year,state,"EV sold in Lakhs"
2022,Maharashtra,0.4837
2022,Karnataka,0.4311
2022,"Tamil Nadu",0.3686
2023,Maharashtra,1.5050
2023,Karnataka,1.0890
2023,Gujarat,0.7900
2024,Maharashtra,1.9717
2024,Karnataka,1.6099
2024,"Tamil Nadu",0.9431
