vehicle_category,sales_2022,sales_2023,sales_2024,2022_revenue,2023_revenue,2024_revenue,rev_growth_22_vs_24,rev_growth_23_vs_24
2-Wheelers,252573,727903,932692,21468705000.00,61871755000.00,79278820000.00,269.28,28.13
4-Wheelers,18577,47465,86901,27865500000.00,71197500000.00,130351500000.00,367.79,83.08
