fiscal_year,maker,"EV Sold"
2022,TVS,9.7390
2022,ATHER,19.9760
2022,AMPERE,25.5100
2022,"HERO ELECTRIC",69.4520
2022,"OLA ELECTRIC",14.4010
2023,ATHER,76.9210
2023,TVS,82.0930
2023,AMPERE,87.3760
2023,"HERO ELECTRIC",88.9930
2023,"OLA ELECTRIC",152.5830
2024,"HERO ELECTRIC",11.9490
2024,AMPERE,54.3880
2024,ATHER,107.5520
2024,TVS,180.7430
2024,"OLA ELECTRIC",322.4890
